ctime,schemaname,relname,seq_scan,seq_tup_read,idx_scan,idx_tup_fetch,n_tup_ins,n_tup_upd,n_tup_del,n_tup_hot_upd,n_live_tup,n_dead_tup,heap_blks_read,heap_blks_hit,idx_blks_read,idx_blks_hit,toast_blks_read,toast_blks_hit,tidx_blks_read,tidx_blks_hit
1415141284.3546,pg_catalog,pg_attrdef,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1415141284.3546,pg_catalog,pg_db_role_setting,0,0,70452,0,0,0,0,0,0,0,0,0,1086,69366,0,0,0,0
1415141284.3546,pg_catalog,pg_rowsecurity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1415141284.3546,pg_catalog,pg_description,0,0,1862,0,0,0,0,0,0,0,0,0,539,3607,0,0,0,0
1415141284.3546,pg_catalog,pg_foreign_data_wrapper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1415141284.3546,pg_catalog,pg_conversion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1415141284.3546,information_schema,sql_features,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
1415141284.3546,public,orders,0,0,,,0,0,0,0,0,0,0,0,,,,,,
1415141284.3546,pg_catalog,pg_class,8440,2153715,499717,467597,726,264,714,251,311,74,10688,541477,10239,1031114,,,,
1415141284.3546,pg_catalog,pg_opfamily,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1415141284.3546,public,time_statistics,0,0,,,1,0,0,0,1,0,1,0,,,,,,
1415141284.3546,pg_catalog,pg_auth_members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1415141284.3546,pg_catalog,pg_operator,0,0,119778,585899,0,0,0,0,0,0,11056,400481,7888,256131,,,,
1415141284.3546,information_schema,sql_packages,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
1415141284.3546,pg_catalog,pg_attribute,1254,8550,372062,784628,2782,82,2646,53,2472,332,15782,408310,6649,768309,,,,
1415141284.3546,pg_catalog,pg_tablespace,2,4,12278,12278,0,0,0,0,0,0,987,11293,1996,22608,,,,
1415141284.3546,pg_catalog,pg_statistic,0,0,91274,85761,603,1556,596,1198,409,193,9964,80647,3149,193882,14996,61608,1045,100292
1415141284.3546,pg_catalog,pg_aggregate,0,0,8160,8160,0,0,0,0,0,0,1186,6974,2520,11811,,,,
1415141284.3546,pg_catalog,pg_inherits,0,0,422,0,0,0,0,0,0,0,0,0,185,237,,,,
1415141284.3546,information_schema,sql_sizing,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
1415141284.3546,pg_catalog,pg_enum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1415141284.3546,pg_toast,pg_toast_2396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1415141284.3546,pg_catalog,pg_pltemplate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1415141284.3546,pg_toast,pg_toast_2618,0,0,3566,11400,0,0,0,0,0,0,1490,2829,503,5223,,,,
1415141284.3546,pg_toast,pg_toast_3596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1415141284.3546,pg_toast,pg_toast_11747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1415141284.3546,pg_toast,pg_toast_11727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1415141284.3546,pg_toast,pg_toast_2606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1415141284.3546,pg_toast,pg_toast_2964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1415141284.3546,pg_catalog,pg_database,2160,8448,60439,60437,1,0,0,0,1,0,750,61848,4599,91036,,,,
1415141284.3546,information_schema,sql_parts,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
1415141284.3546,pg_toast,pg_toast_2620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1415141284.3546,pg_toast,pg_toast_11737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1415141284.3546,pg_catalog,pg_depend,0,0,17886,19514,3335,0,3302,0,6628,506,2924,22631,4454,46608,,,,
1415141284.3546,pg_catalog,pg_language,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1415141284.3546,information_schema,sql_implementation_info,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
1415141284.3546,public,part,0,0,,,0,0,0,0,0,0,0,0,,,,,,
