# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
axle;60;1415141334;-1;6.42;0.00;1.19;0.20;0.00;92.19
axle;60;1415141334;0;6.41;0.00;0.77;0.02;0.00;92.80
axle;60;1415141334;1;19.23;0.00;1.85;0.02;0.00;78.90
axle;60;1415141334;2;12.33;0.00;1.58;0.02;0.00;86.07
axle;60;1415141334;3;9.43;0.00;1.59;0.00;0.00;88.98
axle;60;1415141334;4;5.26;0.00;1.34;0.02;0.00;93.39
axle;60;1415141334;5;4.80;0.00;0.42;0.00;0.00;94.79
axle;60;1415141334;6;6.64;0.00;0.95;0.00;0.00;92.41
axle;60;1415141334;7;1.80;0.00;0.47;0.00;0.00;97.73
axle;60;1415141334;8;11.59;0.00;2.29;0.02;0.00;86.10
axle;60;1415141334;9;19.37;0.00;2.20;0.00;0.00;78.43
axle;60;1415141334;10;12.11;0.00;13.33;0.05;0.00;74.51
axle;60;1415141334;11;4.41;0.00;1.08;0.07;0.00;94.44
axle;60;1415141334;12;8.77;0.00;1.38;0.00;0.00;89.85
axle;60;1415141334;13;6.06;0.00;0.93;0.00;0.00;93.01
axle;60;1415141334;14;7.91;0.00;0.68;0.00;0.00;91.41
axle;60;1415141334;15;4.01;0.00;0.90;0.02;0.00;95.08
axle;60;1415141334;16;38.71;0.00;2.44;0.03;0.00;58.83
axle;60;1415141334;17;10.24;0.00;2.97;0.02;0.00;86.76
axle;60;1415141334;18;15.66;0.00;5.76;0.02;0.00;78.56
axle;60;1415141334;19;11.44;0.00;3.16;4.71;0.00;80.69
axle;60;1415141334;20;6.44;0.00;2.47;1.79;0.00;89.30
axle;60;1415141334;21;34.60;0.00;2.89;0.37;0.00;62.14
axle;60;1415141334;22;8.72;0.00;1.69;0.23;0.00;89.35
axle;60;1415141334;23;7.55;0.00;2.29;0.85;0.00;89.31
axle;60;1415141334;24;43.16;0.00;0.32;0.05;0.00;56.47
axle;60;1415141334;25;7.66;0.00;0.23;0.00;0.00;92.10
axle;60;1415141334;26;3.43;0.00;1.73;2.78;0.00;92.06
axle;60;1415141334;27;14.42;0.00;2.18;1.16;0.00;82.25
axle;60;1415141334;28;1.87;0.00;0.89;0.02;0.00;97.23
axle;60;1415141334;29;18.05;0.00;2.94;0.02;0.00;78.99
axle;60;1415141334;30;8.55;0.00;0.97;0.00;0.00;90.49
axle;60;1415141334;31;3.13;0.00;0.53;0.35;0.00;95.98
axle;60;1415141334;32;0.70;0.00;0.07;0.00;0.00;99.23
axle;60;1415141334;33;0.37;0.00;2.24;0.00;0.00;97.40
axle;60;1415141334;34;0.05;0.00;0.03;0.00;0.00;99.92
axle;60;1415141334;35;0.05;0.00;0.08;0.00;0.00;99.87
axle;60;1415141334;36;0.03;0.00;0.03;0.00;0.00;99.93
axle;60;1415141334;37;0.18;0.00;0.07;0.00;0.00;99.75
axle;60;1415141334;38;0.05;0.00;0.12;0.00;0.00;99.83
axle;60;1415141334;39;0.03;0.00;0.05;0.00;0.00;99.92
axle;60;1415141334;40;10.57;0.00;3.15;0.00;0.00;86.28
axle;60;1415141334;41;1.22;0.00;0.37;0.00;0.00;98.42
axle;60;1415141334;42;0.05;0.00;0.08;0.00;0.00;99.87
axle;60;1415141334;43;0.00;0.00;0.00;0.00;0.00;100.00
axle;60;1415141334;44;15.02;0.00;1.50;0.00;0.00;83.48
axle;60;1415141334;45;0.02;0.00;0.00;0.00;0.00;99.98
axle;60;1415141334;46;0.03;0.00;0.03;0.00;0.00;99.93
axle;60;1415141334;47;0.05;0.00;0.03;0.00;0.00;99.92
axle;60;1415141334;48;0.03;0.00;0.02;0.00;0.00;99.95
axle;60;1415141334;49;0.20;0.00;0.13;0.00;0.00;99.67
axle;60;1415141334;50;0.05;0.00;0.03;0.00;0.00;99.92
axle;60;1415141334;51;0.52;0.00;0.12;0.00;0.00;99.37
axle;60;1415141334;52;0.15;0.00;0.83;0.00;0.00;99.02
axle;60;1415141334;53;2.02;0.00;1.47;0.00;0.00;96.52
axle;60;1415141334;54;0.02;0.00;0.02;0.00;0.00;99.97
axle;60;1415141334;55;0.05;0.00;0.00;0.00;0.00;99.95
axle;60;1415141334;56;0.00;0.00;0.00;0.00;0.00;100.00
axle;60;1415141334;57;5.05;0.00;0.42;0.00;0.00;94.53
axle;60;1415141334;58;0.05;0.00;0.07;0.00;0.00;99.88
axle;60;1415141334;59;0.00;0.00;0.00;0.00;0.00;100.00
axle;60;1415141334;60;0.60;0.00;0.12;0.00;0.00;99.28
axle;60;1415141334;61;0.00;0.00;0.00;0.00;0.00;100.00
axle;60;1415141334;62;0.05;0.00;0.07;0.00;0.00;99.88
axle;60;1415141334;63;0.03;0.00;0.02;0.00;0.00;99.95
axle;60;1415141394;-1;4.39;0.00;0.61;0.14;0.00;94.86
axle;60;1415141394;0;2.21;0.00;0.38;0.35;0.00;97.06
axle;60;1415141394;1;13.29;0.00;3.91;0.40;0.00;82.40
axle;60;1415141394;2;14.48;0.00;2.38;0.00;0.00;83.14
axle;60;1415141394;3;0.85;0.00;0.35;0.20;0.00;98.60
axle;60;1415141394;4;12.86;0.00;2.09;0.28;0.00;84.77
axle;60;1415141394;5;0.18;0.00;0.50;0.27;0.00;99.05
axle;60;1415141394;6;0.22;0.00;0.10;0.00;0.00;99.68
axle;60;1415141394;7;0.20;0.00;0.05;0.00;0.00;99.75
axle;60;1415141394;8;72.92;0.00;0.55;0.00;0.00;26.53
axle;60;1415141394;9;0.12;0.00;0.08;0.00;0.00;99.80
axle;60;1415141394;10;0.55;0.00;0.20;0.00;0.00;99.25
axle;60;1415141394;11;0.45;0.00;0.25;0.00;0.00;99.30
axle;60;1415141394;12;0.32;0.00;0.17;0.00;0.00;99.51
axle;60;1415141394;13;0.63;0.00;0.15;1.19;0.00;98.03
axle;60;1415141394;14;0.02;0.00;0.03;0.02;0.00;99.93
axle;60;1415141394;15;3.27;0.00;0.43;1.82;0.00;94.47
axle;60;1415141394;16;8.64;0.00;0.68;0.87;0.00;89.80
axle;60;1415141394;17;0.08;0.00;0.02;0.00;0.00;99.90
axle;60;1415141394;18;15.18;0.00;1.87;0.00;0.00;82.95
axle;60;1415141394;19;0.10;0.00;0.07;0.00;0.00;99.83
axle;60;1415141394;20;2.70;0.00;6.73;0.00;0.00;90.57
axle;60;1415141394;21;17.43;0.00;0.08;0.00;0.00;82.48
axle;60;1415141394;22;0.50;0.00;0.08;0.00;0.00;99.42
axle;60;1415141394;23;0.10;0.00;0.17;0.00;0.00;99.73
axle;60;1415141394;24;33.23;0.00;2.52;0.05;0.00;64.20
axle;60;1415141394;25;11.22;0.00;1.55;0.65;0.00;86.58
axle;60;1415141394;26;1.72;0.00;0.37;0.40;0.00;97.51
axle;60;1415141394;27;0.10;0.00;0.08;0.05;0.00;99.77
axle;60;1415141394;28;1.13;0.00;0.15;0.02;0.00;98.70
axle;60;1415141394;29;1.57;0.00;0.35;0.05;0.00;98.03
axle;60;1415141394;30;7.84;0.00;1.62;1.14;0.00;89.40
axle;60;1415141394;31;2.76;0.00;0.78;0.57;0.00;95.89
axle;60;1415141394;32;27.97;0.00;2.23;0.00;0.00;69.79
axle;60;1415141394;33;0.00;0.00;0.00;0.00;0.00;100.00
axle;60;1415141394;34;0.05;0.00;0.02;0.00;0.00;99.93
axle;60;1415141394;35;0.05;0.00;0.00;0.00;0.00;99.95
axle;60;1415141394;36;0.03;0.00;0.03;0.00;0.00;99.93
axle;60;1415141394;37;0.02;0.00;0.00;0.00;0.00;99.98
axle;60;1415141394;38;0.05;0.00;0.03;0.00;0.00;99.92
axle;60;1415141394;39;0.03;0.00;0.00;0.00;0.00;99.97
axle;60;1415141394;40;0.00;0.00;0.00;0.00;0.00;100.00
axle;60;1415141394;41;0.02;0.00;0.03;0.00;0.00;99.95
axle;60;1415141394;42;0.07;0.00;0.12;0.00;0.00;99.82
axle;60;1415141394;43;0.00;0.00;0.00;0.00;0.00;100.00
axle;60;1415141394;44;0.00;0.00;0.00;0.00;0.00;100.00
axle;60;1415141394;45;15.45;0.00;5.03;0.10;0.00;79.42
axle;60;1415141394;46;0.02;0.00;0.02;0.00;0.00;99.97
axle;60;1415141394;47;0.02;0.00;0.02;0.00;0.00;99.97
axle;60;1415141394;48;0.78;0.00;0.55;0.10;0.00;98.57
axle;60;1415141394;49;0.07;0.00;0.00;0.00;0.00;99.93
axle;60;1415141394;50;0.02;0.00;0.02;0.00;0.00;99.97
axle;60;1415141394;51;0.00;0.00;0.00;0.00;0.00;100.00
axle;60;1415141394;52;0.00;0.00;0.00;0.00;0.00;100.00
axle;60;1415141394;53;0.00;0.00;0.00;0.00;0.00;100.00
axle;60;1415141394;54;0.00;0.00;0.00;0.00;0.00;100.00
axle;60;1415141394;55;0.02;0.00;0.03;0.00;0.00;99.95
axle;60;1415141394;56;0.00;0.00;0.00;0.00;0.00;100.00
axle;60;1415141394;57;6.92;0.00;1.53;0.00;0.00;91.54
axle;60;1415141394;58;0.07;0.00;0.08;0.00;0.00;99.85
axle;60;1415141394;59;0.00;0.00;0.02;0.00;0.00;99.98
axle;60;1415141394;60;2.58;0.00;0.60;0.03;0.00;96.78
axle;60;1415141394;61;0.00;0.00;0.00;0.00;0.00;100.00
axle;60;1415141394;62;0.03;0.00;0.02;0.00;0.00;99.95
axle;60;1415141394;63;0.02;0.00;0.07;0.12;0.00;99.80
axle;60;1415141454;-1;3.19;0.00;0.39;0.08;0.00;96.33
axle;60;1415141454;0;2.59;0.00;0.53;0.02;0.00;96.86
axle;60;1415141454;1;8.15;0.00;2.85;0.42;0.00;88.58
