# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
axle;60;1415142074;-1;2.83;0.00;0.70;0.07;0.00;96.41
axle;60;1415142074;0;2.13;0.00;0.25;0.00;0.00;97.62
axle;60;1415142074;1;0.33;0.00;0.32;0.02;0.00;99.33
axle;60;1415142074;2;2.14;0.00;0.76;0.00;0.00;97.09
axle;60;1415142074;3;2.65;0.00;0.73;0.05;0.00;96.56
axle;60;1415142074;4;1.07;0.00;0.25;0.00;0.00;98.68
axle;60;1415142074;5;0.15;0.00;0.15;0.00;0.00;99.70
axle;60;1415142074;6;0.12;0.00;0.08;0.00;0.00;99.80
axle;60;1415142074;7;0.07;0.00;0.03;0.00;0.00;99.90
axle;60;1415142074;8;0.02;0.00;0.03;0.00;0.00;99.95
axle;60;1415142074;9;0.00;0.00;0.15;0.00;0.00;99.85
axle;60;1415142074;10;0.17;0.00;0.57;0.03;0.00;99.23
axle;60;1415142074;11;0.47;0.00;0.20;0.00;0.00;99.33
axle;60;1415142074;12;0.22;0.00;0.20;0.00;0.00;99.58
axle;60;1415142074;13;0.00;0.00;0.02;0.00;0.00;99.98
axle;60;1415142074;14;0.03;0.00;0.03;0.00;0.00;99.93
axle;60;1415142074;15;0.00;0.00;0.00;0.00;0.00;100.00
axle;60;1415142074;16;6.81;0.00;2.02;0.02;0.00;91.15
axle;60;1415142074;17;0.63;0.00;0.23;0.00;0.00;99.13
axle;60;1415142074;18;17.98;0.00;7.78;0.00;0.00;74.25
axle;60;1415142074;19;0.18;0.00;0.17;0.00;0.00;99.65
axle;60;1415142074;20;0.08;0.00;0.10;0.00;0.00;99.82
axle;60;1415142074;21;0.12;0.00;0.20;0.00;0.00;99.68
axle;60;1415142074;22;0.05;0.00;0.03;0.00;0.00;99.92
axle;60;1415142074;23;71.98;0.00;0.60;0.00;0.00;27.42
axle;60;1415142074;24;25.39;0.00;0.13;0.00;0.00;74.47
axle;60;1415142074;25;0.20;0.00;0.42;2.32;0.00;97.06
axle;60;1415142074;26;2.59;0.00;6.97;0.10;0.00;90.34
axle;60;1415142074;27;9.16;0.00;6.72;0.15;0.00;83.97
axle;60;1415142074;28;0.10;0.00;0.12;0.15;0.00;99.63
axle;60;1415142074;29;0.12;0.00;0.10;0.08;0.00;99.70
axle;60;1415142074;30;1.43;0.00;0.30;1.45;0.00;96.81
axle;60;1415142074;31;0.05;0.00;0.10;0.07;0.00;99.78
axle;60;1415142074;32;8.82;0.00;0.40;0.00;0.00;90.78
axle;60;1415142074;33;0.15;0.00;0.18;0.00;0.00;99.67
axle;60;1415142074;34;0.05;0.00;0.03;0.00;0.00;99.92
axle;60;1415142074;35;0.00;0.00;0.00;0.00;0.00;100.00
axle;60;1415142074;36;0.02;0.00;0.05;0.00;0.00;99.93
axle;60;1415142074;37;0.07;0.00;0.05;0.00;0.00;99.88
axle;60;1415142074;38;0.05;0.00;0.03;0.00;0.00;99.92
axle;60;1415142074;39;4.80;0.00;6.25;0.00;0.00;88.95
axle;60;1415142074;40;0.00;0.00;0.00;0.00;0.00;100.00
axle;60;1415142074;41;6.12;0.00;2.64;0.00;0.00;91.24
axle;60;1415142074;42;0.02;0.00;0.03;0.00;0.00;99.95
axle;60;1415142074;43;0.00;0.00;0.02;0.00;0.00;99.98
axle;60;1415142074;44;9.68;0.00;3.97;0.00;0.00;86.35
axle;60;1415142074;45;0.00;0.00;0.02;0.00;0.00;99.98
axle;60;1415142074;46;0.00;0.00;0.00;0.00;0.00;100.00
axle;60;1415142074;47;0.00;0.00;0.02;0.00;0.00;99.98
axle;60;1415142074;48;0.59;0.00;0.30;0.00;0.00;99.11
axle;60;1415142074;49;0.00;0.00;0.00;0.00;0.00;100.00
axle;60;1415142074;50;0.00;0.00;0.00;0.00;0.00;100.00
axle;60;1415142074;51;3.61;0.00;0.55;0.03;0.00;95.81
axle;60;1415142074;52;0.00;0.00;0.00;0.00;0.00;100.00
axle;60;1415142074;53;0.02;0.00;0.02;0.00;0.00;99.97
axle;60;1415142074;54;0.05;0.00;0.03;0.00;0.00;99.92
axle;60;1415142074;55;0.00;0.00;0.00;0.00;0.00;100.00
axle;60;1415142074;56;0.00;0.00;0.00;0.00;0.00;100.00
axle;60;1415142074;57;0.27;0.00;0.07;0.00;0.00;99.67
axle;60;1415142074;58;0.00;0.00;0.00;0.00;0.00;100.00
axle;60;1415142074;59;0.00;0.00;0.00;0.00;0.00;100.00
axle;60;1415142074;60;0.00;0.00;0.03;0.00;0.00;99.97
axle;60;1415142074;61;0.03;0.00;0.02;0.00;0.00;99.95
axle;60;1415142074;62;0.00;0.00;0.00;0.00;0.00;100.00
axle;60;1415142074;63;0.03;0.00;0.07;0.00;0.00;99.90
axle;60;1415142134;-1;3.09;0.00;0.45;0.04;0.00;96.42
axle;60;1415142134;0;1.17;0.00;0.22;0.00;0.00;98.61
axle;60;1415142134;1;0.27;0.00;0.08;0.00;0.00;99.65
axle;60;1415142134;2;1.10;0.00;0.25;0.00;0.00;98.65
axle;60;1415142134;3;0.47;0.00;0.08;0.00;0.00;99.45
axle;60;1415142134;4;0.57;0.00;0.17;0.00;0.00;99.27
axle;60;1415142134;5;0.17;0.00;0.12;0.00;0.00;99.72
axle;60;1415142134;6;0.08;0.00;0.10;0.00;0.00;99.82
axle;60;1415142134;7;0.08;0.00;0.07;0.00;0.00;99.85
axle;60;1415142134;8;93.70;0.00;0.55;0.00;0.00;5.75
axle;60;1415142134;9;0.43;0.00;0.18;0.00;0.00;99.38
axle;60;1415142134;10;0.25;0.00;0.30;0.00;0.00;99.45
axle;60;1415142134;11;4.14;0.00;0.50;0.05;0.00;95.31
axle;60;1415142134;12;0.92;0.00;0.12;0.00;0.00;98.97
axle;60;1415142134;13;0.05;0.00;0.05;0.00;0.00;99.90
axle;60;1415142134;14;0.03;0.00;0.02;0.00;0.00;99.95
axle;60;1415142134;15;0.05;0.00;0.00;0.02;0.00;99.93
axle;60;1415142134;16;0.10;0.00;0.07;0.00;0.00;99.83
axle;60;1415142134;17;82.93;0.00;16.73;0.00;0.00;0.33
axle;60;1415142134;18;0.45;0.00;0.15;0.00;0.00;99.40
axle;60;1415142134;19;0.10;0.00;0.12;0.00;0.00;99.78
axle;60;1415142134;20;0.23;0.00;0.15;0.53;0.00;99.08
axle;60;1415142134;21;0.73;0.00;0.23;0.73;0.00;98.30
axle;60;1415142134;22;0.12;0.00;0.05;0.00;0.00;99.83
axle;60;1415142134;23;0.05;0.00;0.03;0.00;0.00;99.92
axle;60;1415142134;24;0.00;0.00;0.02;0.00;0.00;99.98
axle;60;1415142134;25;0.00;0.00;0.13;0.30;0.00;99.57
axle;60;1415142134;26;2.68;0.00;6.80;0.27;0.00;90.25
axle;60;1415142134;27;0.02;0.00;0.08;0.50;0.00;99.40
axle;60;1415142134;28;0.08;0.00;0.03;0.00;0.00;99.88
axle;60;1415142134;29;0.05;0.00;0.05;0.00;0.00;99.90
axle;60;1415142134;30;0.05;0.00;0.10;0.03;0.00;99.82
axle;60;1415142134;31;0.02;0.00;0.03;0.00;0.00;99.95
axle;60;1415142134;32;0.02;0.00;0.02;0.00;0.00;99.97
axle;60;1415142134;33;0.13;0.00;0.38;0.00;0.00;99.48
axle;60;1415142134;34;0.02;0.00;0.02;0.00;0.00;99.97
axle;60;1415142134;35;0.02;0.00;0.02;0.00;0.00;99.97
axle;60;1415142134;36;0.03;0.00;0.02;0.00;0.00;99.95
axle;60;1415142134;37;0.05;0.00;0.07;0.00;0.00;99.88
axle;60;1415142134;38;0.05;0.00;0.03;0.00;0.00;99.92
axle;60;1415142134;39;0.00;0.00;0.02;0.00;0.00;99.98
axle;60;1415142134;40;0.60;0.00;0.17;0.00;0.00;99.23
axle;60;1415142134;41;0.02;0.00;0.03;0.00;0.00;99.95
axle;60;1415142134;42;0.03;0.00;0.02;0.00;0.00;99.95
axle;60;1415142134;43;0.02;0.00;0.00;0.00;0.00;99.98
axle;60;1415142134;44;0.02;0.00;0.00;0.00;0.00;99.98
axle;60;1415142134;45;0.03;0.00;0.05;0.00;0.00;99.92
axle;60;1415142134;46;0.52;0.00;0.23;0.00;0.00;99.25
axle;60;1415142134;47;0.02;0.00;0.00;0.00;0.00;99.98
axle;60;1415142134;48;4.38;0.00;0.02;0.00;0.00;95.60
axle;60;1415142134;49;0.00;0.00;0.00;0.00;0.00;100.00
axle;60;1415142134;50;0.00;0.00;0.00;0.00;0.00;100.00
axle;60;1415142134;51;0.02;0.00;0.07;0.00;0.00;99.92
axle;60;1415142134;52;0.00;0.00;0.00;0.00;0.00;100.00
axle;60;1415142134;53;0.07;0.00;0.03;0.00;0.00;99.90
axle;60;1415142134;54;0.13;0.00;0.08;0.00;0.00;99.78
axle;60;1415142134;55;0.03;0.00;0.02;0.00;0.00;99.95
axle;60;1415142134;56;0.00;0.00;0.00;0.00;0.00;100.00
axle;60;1415142134;57;0.28;0.00;0.08;0.00;0.00;99.63
axle;60;1415142134;58;0.00;0.00;0.00;0.00;0.00;100.00
axle;60;1415142134;59;0.00;0.00;0.00;0.00;0.00;100.00
axle;60;1415142134;60;0.00;0.00;0.00;0.00;0.00;100.00
axle;60;1415142134;61;0.03;0.00;0.02;0.00;0.00;99.95
axle;60;1415142134;62;0.00;0.00;0.00;0.00;0.00;100.00
axle;60;1415142134;63;0.03;0.00;0.00;0.00;0.00;99.97
axle;60;1415142194;-1;3.03;0.00;0.55;0.00;0.00;96.42
axle;60;1415142194;0;0.87;0.00;0.08;0.00;0.00;99.05
axle;60;1415142194;1;0.32;0.00;0.07;0.00;0.00;99.62
axle;60;1415142194;2;0.85;0.00;0.17;0.00;0.00;98.98
axle;60;1415142194;3;0.30;0.00;0.08;0.00;0.00;99.62
axle;60;1415142194;4;0.43;0.00;0.08;0.00;0.00;99.48
axle;60;1415142194;5;0.35;0.00;0.12;0.00;0.00;99.53
axle;60;1415142194;6;0.10;0.00;0.07;0.00;0.00;99.83
axle;60;1415142194;7;0.22;0.00;0.05;0.00;0.00;99.73
axle;60;1415142194;8;99.73;0.00;0.27;0.00;0.00;0.00
axle;60;1415142194;9;2.57;0.00;0.47;0.00;0.00;96.97
axle;60;1415142194;10;0.08;0.00;0.07;0.00;0.00;99.85
axle;60;1415142194;11;0.43;0.00;0.20;0.00;0.00;99.37
axle;60;1415142194;12;0.63;0.00;0.37;0.00;0.00;99.00
axle;60;1415142194;13;0.25;0.00;0.17;0.00;0.00;99.58
axle;60;1415142194;14;1.72;0.00;0.35;0.00;0.00;97.93
axle;60;1415142194;15;1.87;0.00;0.43;0.00;0.00;97.70
axle;60;1415142194;16;0.03;0.00;0.03;0.00;0.00;99.93
axle;60;1415142194;17;11.04;0.00;0.37;0.02;0.00;88.57
axle;60;1415142194;18;8.03;0.00;7.29;0.00;0.00;84.68
axle;60;1415142194;19;0.18;0.00;0.12;0.00;0.00;99.70
axle;60;1415142194;20;0.27;0.00;0.08;0.00;0.00;99.65
axle;60;1415142194;21;0.05;0.00;0.17;0.00;0.00;99.78
axle;60;1415142194;22;0.07;0.00;0.03;0.00;0.00;99.90
axle;60;1415142194;23;0.03;0.00;0.00;0.00;0.00;99.97
axle;60;1415142194;24;0.02;0.00;0.02;0.00;0.00;99.97
axle;60;1415142194;25;0.00;0.00;0.02;0.00;0.00;99.98
axle;60;1415142194;26;0.23;0.00;2.07;0.00;0.00;97.70
axle;60;1415142194;27;2.32;0.00;6.04;0.00;0.00;91.64
axle;60;1415142194;28;0.07;0.00;0.02;0.00;0.00;99.92
axle;60;1415142194;29;0.03;0.00;0.03;0.00;0.00;99.93
axle;60;1415142194;30;0.07;0.00;0.02;0.00;0.00;99.92
axle;60;1415142194;31;0.05;0.00;0.02;0.00;0.00;99.93
axle;60;1415142194;32;0.03;0.00;0.02;0.00;0.00;99.95
axle;60;1415142194;33;0.08;0.00;0.42;0.00;0.00;99.50
axle;60;1415142194;34;0.02;0.00;0.02;0.00;0.00;99.97
axle;60;1415142194;35;46.98;0.00;5.92;0.00;0.00;47.10
axle;60;1415142194;36;12.65;0.00;8.29;0.00;0.00;79.06
axle;60;1415142194;37;0.10;0.00;0.07;0.00;0.00;99.83
axle;60;1415142194;38;0.07;0.00;0.03;0.00;0.00;99.90
axle;60;1415142194;39;0.03;0.00;0.02;0.00;0.00;99.95
axle;60;1415142194;40;0.10;0.00;0.02;0.00;0.00;99.88
axle;60;1415142194;41;0.02;0.00;0.00;0.00;0.00;99.98
axle;60;1415142194;42;0.02;0.00;0.02;0.00;0.00;99.97
axle;60;1415142194;43;0.00;0.00;0.00;0.00;0.00;100.00
axle;60;1415142194;44;0.00;0.00;0.02;0.00;0.00;99.98
axle;60;1415142194;45;0.02;0.00;0.02;0.00;0.00;99.97
axle;60;1415142194;46;0.00;0.00;0.00;0.00;0.00;100.00
axle;60;1415142194;47;0.00;0.00;0.00;0.00;0.00;100.00
axle;60;1415142194;48;0.00;0.00;0.00;0.00;0.00;100.00
axle;60;1415142194;49;0.02;0.00;0.07;0.00;0.00;99.92
axle;60;1415142194;50;0.02;0.00;0.00;0.00;0.00;99.98
axle;60;1415142194;51;0.02;0.00;0.02;0.00;0.00;99.97
axle;60;1415142194;52;0.00;0.00;0.02;0.00;0.00;99.98
axle;60;1415142194;53;0.03;0.00;0.02;0.00;0.00;99.95
axle;60;1415142194;54;0.00;0.00;0.02;0.00;0.00;99.98
axle;60;1415142194;55;0.05;0.00;0.00;0.00;0.00;99.95
axle;60;1415142194;56;0.00;0.00;0.00;0.00;0.00;100.00
axle;60;1415142194;57;0.57;0.00;0.67;0.00;0.00;98.76
axle;60;1415142194;58;0.00;0.00;0.00;0.00;0.00;100.00
axle;60;1415142194;59;0.00;0.00;0.02;0.00;0.00;99.98
axle;60;1415142194;60;0.00;0.00;0.00;0.00;0.00;100.00
axle;60;1415142194;61;0.00;0.00;0.00;0.00;0.00;100.00
axle;60;1415142194;62;0.00;0.00;0.00;0.00;0.00;100.00
axle;60;1415142194;63;0.02;0.00;0.02;0.00;0.00;99.97
axle;60;1415142254;-1;3.05;0.00;0.51;0.00;0.00;96.44
axle;60;1415142254;0;1.02;0.00;0.13;0.00;0.00;98.85
axle;60;1415142254;1;0.63;0.00;0.20;0.00;0.00;99.17
axle;60;1415142254;2;0.85;0.00;0.20;0.00;0.00;98.95
axle;60;1415142254;3;0.07;0.00;0.05;0.00;0.00;99.88
axle;60;1415142254;4;0.40;0.00;0.15;0.00;0.00;99.45
axle;60;1415142254;5;0.27;0.00;0.08;0.00;0.00;99.65
axle;60;1415142254;6;0.07;0.00;0.05;0.00;0.00;99.88
axle;60;1415142254;7;0.12;0.00;0.12;0.00;0.00;99.77
axle;60;1415142254;8;99.77;0.00;0.23;0.00;0.00;0.00
axle;60;1415142254;9;0.65;0.00;0.45;0.00;0.00;98.89
axle;60;1415142254;10;5.13;0.00;0.57;0.00;0.00;94.31
axle;60;1415142254;11;0.12;0.00;0.10;0.00;0.00;99.78
axle;60;1415142254;12;0.02;0.00;0.03;0.00;0.00;99.95
axle;60;1415142254;13;0.02;0.00;0.02;0.00;0.00;99.97
axle;60;1415142254;14;1.26;0.00;0.61;0.00;0.00;98.13
axle;60;1415142254;15;0.13;0.00;0.17;0.00;0.00;99.70
axle;60;1415142254;16;0.03;0.00;0.05;0.02;0.00;99.90
axle;60;1415142254;17;0.05;0.00;0.03;0.00;0.00;99.92
axle;60;1415142254;18;0.03;0.00;0.05;0.00;0.00;99.92
axle;60;1415142254;19;0.15;0.00;0.05;0.00;0.00;99.80
axle;60;1415142254;20;0.25;0.00;0.17;0.00;0.00;99.58
axle;60;1415142254;21;0.03;0.00;0.15;0.00;0.00;99.82
axle;60;1415142254;22;0.07;0.00;0.03;0.00;0.00;99.90
